"row_id","bot","score_type","score"
273,"Bot1","emotional",5
274,"Bot1","engagement",4.66666666666667
275,"Bot2","engagement",3.33333333333333
276,"Bot2","engagement",4.16666666666667
277,"Bot2","emotional",2
280,"Bot1","emotional",4.83333333333333
281,"Bot3","engagement",3.5
283,"Bot1","engagement",3.66666666666667
284,"Bot1","emotional",4
286,"Bot2","emotional",3.5
289,"Bot3","emotional",3
291,"Bot2","engagement",3
292,"Bot2","emotional",3
293,"Bot2","engagement",4.33333333333333
294,"Bot3","engagement",3.66666666666667
295,"Bot3","engagement",4
296,"Bot2","emotional",4
300,"Bot3","engagement",3.33333333333333
301,"Bot3","emotional",2
302,"Bot3","emotional",4.33333333333333
303,"Bot3","emotional",4.5
305,"Bot3","engagement",1.83333333333333
308,"Bot3","emotional",1.66666666666667
309,"Bot2","engagement",4.5
310,"Bot2","emotional",3.16666666666667
312,"Bot3","engagement",2.5
313,"Bot3","emotional",2.5
315,"Bot3","engagement",5
316,"Bot3","engagement",2.66666666666667
317,"Bot3","emotional",5
320,"Bot3","emotional",2.5
322,"Bot3","engagement",3
323,"Bot3","emotional",2.83333333333333
325,"Bot1","engagement",4.33333333333333
326,"Bot1","emotional",4.33333333333333
328,"Bot2","engagement",2.5
329,"Bot2","emotional",2.66666666666667
331,"Bot3","engagement",3.5
332,"Bot3","emotional",3
334,"Bot1","engagement",4.83333333333333
335,"Bot1","emotional",4.33333333333333
337,"Bot1","engagement",3.66666666666667
338,"Bot1","emotional",3
339,"Bot2","engagement",3.33333333333333
340,"Bot2","emotional",3.33333333333333
343,"Bot2","engagement",3.16666666666667
344,"Bot2","emotional",2.16666666666667
346,"Bot3","engagement",4.5
347,"Bot3","emotional",4.33333333333333
349,"Bot1","engagement",4.66666666666667
350,"Bot1","emotional",4.66666666666667
352,"Bot1","engagement",4.33333333333333
353,"Bot1","emotional",3.5
355,"Bot3","engagement",3.16666666666667
356,"Bot3","emotional",2.66666666666667
358,"Bot2","engagement",4
359,"Bot2","emotional",4.33333333333333
360,"Bot2","engagement",4
362,"Bot2","emotional",5
364,"Bot3","engagement",5
365,"Bot3","emotional",4.83333333333333
367,"Bot3","engagement",4.83333333333333
368,"Bot3","emotional",4.83333333333333
370,"Bot1","engagement",5
371,"Bot1","engagement",4.83333333333333
372,"Bot1","emotional",3.5
373,"Bot1","emotional",5
376,"Bot1","engagement",4.33333333333333
377,"Bot1","engagement",4
378,"Bot1","emotional",3.66666666666667
379,"Bot2","engagement",4.33333333333333
380,"Bot1","emotional",4.16666666666667
381,"Bot2","emotional",3.16666666666667
384,"Bot1","engagement",4.16666666666667
385,"Bot2","engagement",4.83333333333333
387,"Bot1","emotional",3.83333333333333
388,"Bot2","emotional",5
391,"Bot2","engagement",3.33333333333333
392,"Bot3","engagement",4.66666666666667
393,"Bot2","emotional",3.33333333333333
394,"Bot2","engagement",3
395,"Bot2","emotional",2.33333333333333
396,"Bot3","engagement",4.5
397,"Bot2","engagement",3.33333333333333
400,"Bot2","emotional",3
401,"Bot3","emotional",4.33333333333333
404,"Bot3","emotional",3.16666666666667
406,"Bot3","engagement",4.33333333333333
407,"Bot3","emotional",4.66666666666667
408,"Bot3","engagement",5
410,"Bot3","emotional",4.66666666666667
412,"Bot3","engagement",2.33333333333333
413,"Bot3","emotional",1.83333333333333
