"bot","q1_mean","q1_median","q1_sd","q1_n","q2_mean","q2_median","q2_sd","q2_n","q3_mean","q3_median","q3_sd","q3_n","q4_mean","q4_median","q4_sd","q4_n","q5_mean","q5_median","q5_sd","q5_n","q6_mean","q6_median","q6_sd","q6_n","q7_mean","q7_median","q7_sd","q7_n","q8_mean","q8_median","q8_sd","q8_n","q9_mean","q9_median","q9_sd","q9_n","q10_mean","q10_median","q10_sd","q10_n","q11_mean","q11_median","q11_sd","q11_n","q12_mean","q12_median","q12_sd","q12_n"
"Bot1",4.08333333333333,5,1.35007223342345,48,4.45833333333333,5,0.824061899485953,48,4.45833333333333,5,0.921569736993269,48,3.875,4,1.10366892969902,48,4.08333333333333,4.5,1.1076779110418,48,3.5,4,1.2547781019393,48,3.77083333333333,4,1.07662955823893,48,3.39583333333333,4,1.31666217792574,48,3.89583333333333,4,1.09621366401041,48,3.39583333333333,3,0.961815290210272,48,3.89583333333333,4,1.13436800913189,48,4,4,0.989304505324483,48
"Bot2",3.62222222222222,4,1.21147710158994,45,3.57777777777778,4,1.09728774897034,45,3.46666666666667,3,1.07871977994119,45,3.06666666666667,3,1.25045446283996,45,3.35555555555556,3,1.33409069399272,45,3.15555555555556,3,1.2960702063538,45,3.06666666666667,3,1.33824851612437,45,2.8,3,1.25408423669516,45,3.17777777777778,3,1.26650716699133,45,2.84444444444444,3,1.0861850578046,45,3.13333333333333,3,1.14017542509914,45,3.22222222222222,3,1.18492210884952,45
"Bot3",3.82222222222222,4,1.31924373805754,45,3.73333333333333,4,1.26849947145866,45,3.97777777777778,4,1.25206899477496,45,3.2,3,1.39153283696923,45,3.6,4,1.35512495230648,45,3.04444444444444,3,1.491728033273,45,3.42222222222222,4,1.40597570276576,45,3.2,3,1.45539747772965,45,3.51111111111111,3,1.32497379429012,45,3.08888888888889,3,1.23990876171343,45,3.46666666666667,4,1.43969693780576,45,3.35555555555556,3,1.35101906916687,45
