"bot","engagement_count","engagement_score","engagement_sd","emotional_count","emotional_score","emotional_sd","free_response_count"
"Bot1",48,4.07638888888889,1.14812291048322,48,3.72569444444444,1.11893718411264,48
"Bot2",45,3.37407407407407,1.22127746896546,45,3.04074074074074,1.2141542130145,45
"Bot3",45,3.56296296296296,1.37750060502301,45,3.34074074074074,1.36696534147813,45
